Nome,Edicao,Preco
"Éter, o Maligno Dragão Edificante / Aether, the Evil Empowering Dragon ",(#CT13-PT011) / (#CT13-EN011),N.D
Ídolo dos Mil Olhos / Thousand-Eyes Idol ,(#OP07-PT027) / (#OP07-EN027),N.D
Índice Toon / Toon Table of Contents ,(#DASA-PT043) / (#DASA-EN043),N.D
Índice Toon / Toon Table of Contents ,(#DB2-PT121) / (#DB2-EN121),N.D
Índice Toon / Toon Table of Contents ,(#DPBC-PT047) / (#DPBC-EN047),N.D
Índice Toon / Toon Table of Contents ,(#GLD4-PT039) / (#GLD4-EN039),N.D
Índice Toon / Toon Table of Contents ,(#LCYW-PT116) / (#LCYW-EN116),N.D
Índice Toon / Toon Table of Contents ,(#SS01-PTC10) / (#SS01-ENC10),N.D
Índice Toon / Toon Table of Contents ,(#TP6-PT002) / (#TP6-EN002),N.D
Íris do Céu / Sky Iris ,(#LEDD-PTC13) / (#LEDD-ENC13),N.D
Íris do Céu / Sky Iris ,(#OP03-PT009) / (#OP03-EN009),N.D
Íris do Céu / Sky Iris ,(#SDMP-PT025) / (#SDMP-EN025),N.D
Óculos de Marshmallon / Marshmallon Glasses ,(#PP01-PT004) / (#PP01-EN004),N.D
Óculos de Marshmallon / Marshmallon Glasses ,(#YGLD-PTC35) / (#YGLD-ENC35),N.D
Óculos de Marshmallon / Marshmallon Glasses ,(#YGLD-PTC35) / (#YGLD-ENC35),N.D
Óculos de Marshmallon / Marshmallon Glasses ,(#YGLD-PTC35) / (#YGLD-ENC35),N.D
Óculos de Marshmallon / Marshmallon Glasses ,(#YGLD-PTC35) / (#YGLD-ENC35),N.D
Ódio Notável / Hate Buster ,(#BP03-PT205) / (#BP03-EN205),N.D
Ódio Notável / Hate Buster ,(#DT04-PT097) / (#DT04-EN097),N.D
Ódio Notável / Hate Buster ,(#PTDN-PT066) / (#PTDN-EN066),N.D
"Ópera, a Diva Melodiosa / Opera the Melodious Diva ",(#CORE-PT008) / (#CORE-EN008),N.D
"Ópera, a Diva Melodiosa / Opera the Melodious Diva ",(#MP16-PT054) / (#MP16-EN054),N.D
"Ópera, a Diva Melodiosa / Opera the Melodious Diva ",(#SP17-PT020) / (#SP17-EN020),N.D
Ônibus de Excursão aos Reinos Proibidos / Tour Bus To Forbidden Realms ,(#JOTL-PT085) / (#JOTL-EN085),N.D
Ônibus de Excursão do Submundo / Tour Bus From the Underworld ,(#BP02-PT105) / (#BP02-EN105),N.D
Ônibus de Excursão do Submundo / Tour Bus From the Underworld ,(#ORCS-PT086) / (#ORCS-EN086),N.D
"""B"" Contato / Contact ""C"" ",(#EXFO-PT037) / (#EXFO-EN037),"1,60"
"""B"" Contato / Contact ""C"" ",(#MP18-PT195) / (#MP18-EN195),N.D
"""B"" Voadora / Flying ""C"" ",(#JOTL-PT039) / (#JOTL-EN039),N.D
"""B"" Voadora / Flying ""C"" ",(#JOTL-PTDE2) / (#JOTL-ENDE2),N.D
"""B"" Voadora / Flying ""C"" ",(#MP14-PT092) / (#MP14-EN092),N.D
"""B"" Voadora / Flying ""C"" ",(#OP01-PT018) / (#OP01-EN018),N.D
Última Aposta / Last Gamble ,(#SS02-PTBS2) / (#SS02-ENBS2),N.D
Última Esperança de Nephthys / Last Hope of Nephthys ,(#HISU-PT010) / (#HISU-EN010),N.D
Último Contragolpe / Last Counter ,(#PRIO-PT071) / (#PRIO-EN071),N.D
Último Dia da Bruxa / Last Day of Witch ,(#DL9-PT001) / (#DL9-EN001),N.D
º Movimento Solitário / 1st Movement Solo ,(#MP15-PT169) / (#MP15-EN169),N.D
1º Movimento Solitário / 1st Movement Solo ,(#NECH-PT059) / (#NECH-EN059),N.D
º Movimento Solitário / 1st Movement Solo ,(#NECH-PTS10) / (#NECH-ENS10),N.D
7 ,(#AST-091),N.D
7 / 7 ,(#DR2-PT204) / (#DR2-EN204),N.D
7 Completados / 7 Completed ,(#BP03-PT135) / (#BP03-EN135),N.D
7 Completados / 7 Completed ,(#DT02-PT038) / (#DT02-EN038),N.D
7 Completados / 7 Completed ,(#PSV-004) / (#PSV-004),N.D
7 Completados / 7 Completed ,(#SBSC-PT029) / (#SBSC-EN029),N.D
8-Claws Scorpion ,(#GLD1-EN007),N.D
8-Claws Scorpion ,(#PGD-024),N.D
A Árvore do Mundo / The World Tree ,(#CSOC-PT059) / (#CSOC-EN059),N.D
A Árvore do Mundo / The World Tree ,(#DL18-PT012) / (#DL18-EN012),N.D
A a Z - Dragão Canhão Banimento / A-to-Z-Dragon Buster Cannon ,(#SDKS-PT040) / (#SDKS-EN040),N.D
A Arte de Super Transformação Ninjitsu / Ninjitsu Art of Super-Transformation ,(#OP02-PT026) / (#OP02-EN026),N.D
A Arte de Super Transformação Ninjitsu / Ninjitsu Art of Super-Transformation ,(#ORCS-PT075) / (#ORCS-EN075),N.D
 Arte de Super Transformação Ninjitsu / Ninjitsu Art of Super-Transformation ,(#SHVA-PT029) / (#SHVA-EN029),N.D
 Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#AST-052) / (#AST-052),N.D
A Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#DR2-PT164) / (#DR2-EN164),N.D
A Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#OP02-PT011) / (#OP02-EN011),N.D
A Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#SD8-PT035) / (#SD8-EN035),N.D
 Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#SHVA-PT028) / (#SHVA-EN028),N.D
A Arte de Transformação Ninjitsu (Atualizado de: A Arte de Transformação Ninjutso) / Ninjitsu Art of Transformation ,(#TU07-PT019) / (#TU07-EN019),N.D
A Atmosfera / The Atmosphere ,(#JOTL-PT090) / (#JOTL-EN090),N.D
 Cidade Oculta / The Hidden City ,(#FIGA-PT049) / (#FIGA-EN049),N.D
A Cidade Oculta / The Hidden City ,(#TDIL-PT085) / (#TDIL-EN085),N.D
A Conta do Dragão / The Dragon's Bead ,(#DB2-PT158) / (#DB2-EN158),N.D
A Conta do Dragão / The Dragon's Bead ,(#LOD-043) / (#LOD-043),N.D
A Conta do Dragão / The Dragon's Bead ,(#SD1-PT023) / (#SD1-EN023),N.D
A Criatura Definitiva da Destruição / The Ultimate Creature of Destruction ,(#LED3-PT005) / (#LED3-EN005),N.D
A Donzela Infeliz / The Unhappy Maiden ,(#DB2-PT079) / (#DB2-EN079),N.D
A Donzela Infeliz / The Unhappy Maiden ,(#MRD-134) / (#MRD-134),N.D
A Enorme Revolução Terminou / The Huge Revolution is Over ,(#ORCS-PT078) / (#ORCS-EN078),N.D
A Enorme Revolução Terminou / The Huge Revolution is Over ,(#SR03-PT038) / (#SR03-EN038),N.D
A Erupção dos Monarcas / The Monarchs Erupt ,(#MP15-PT044) / (#MP15-EN044),N.D
A Erupção dos Monarcas / The Monarchs Erupt ,(#PRIO-PT076) / (#PRIO-EN076),N.D
A Erupção dos Monarcas / The Monarchs Erupt ,(#SR01-PT038) / (#SR01-EN038),N.D
A Feint Plan ,(#LOD-032),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#DL17-PT013) / (#DL17-EN013),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#DLG1-PT088) / (#DLG1-EN088),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#DPBC-PT018) / (#DPBC-EN018),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#DPKB-PT030) / (#DPKB-EN030),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#LCKC-PT027) / (#LCKC-EN027),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#RP01-PT087) / (#RP01-EN087),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#SDDC-PT027) / (#SDDC-EN027),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#SDK-042) / (#SDK-042),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#SDKS-PT023) / (#SDKS-EN023),N.D
A Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#SKE-031) / (#SKE-031),N.D
 Flauta para Invocação de Dragões / The Flute of Summoning Dragon ,(#SS02-PTA10) / (#SS02-ENA10),N.D
A Força A. / The A. Forces ,(#DB2-PT146) / (#DB2-EN146),N.D
A Força A. / The A. Forces ,(#LOD-027) / (#LOD-027),N.D
 Força A. / The A. Forces ,(#SDWA-PT024) / (#SDWA-EN024),N.D
A Força A. / The A. Forces ,(#YS13-PT028) / (#YS13-EN028),N.D
 Força A. / The A. Forces ,(#YS14-PTA08) / (#YS14-ENA08),N.D
A Garra de Hermos / The Claw of Hermos ,(#DRL2-PT013) / (#DRL2-EN013),N.D
A Garra de Hermos / The Claw of Hermos ,(#DRL3-PT067) / (#DRL3-EN067),N.D
 Garra de Hermos / The Claw of Hermos ,(#LEDD-PTA23) / (#LEDD-ENA23),N.D
A Glória da Mão do Rei / Glory of the King's Hand ,(#YGLD-PROMO2) / (#YGLD-PROMO2),N.D
A Grande Marcha dos Animais / The Big March of Animals ,(#DR3-PT168) / (#DR3-EN168),N.D
A Grande Marcha dos Animais / The Big March of Animals ,(#FET-PT048) / (#FET-EN048),N.D
 Grande Torre do Livro de Magia / The Grand Spellbook Tower ,(#ABYR-PT060) / (#ABYR-EN060),N.D
A Grande Torre do Livro de Magia / The Grand Spellbook Tower ,(#PGL2-PT057) / (#PGL2-EN057),N.D
 Inspeção Forçada / The Forceful Checkpoint ,(#SBAD-PT045) / (#SBAD-EN045),N.D
A Inspeção Forçada / The Forceful Checkpoint ,(#TDIL-PT080) / (#TDIL-EN080),N.D
 Lei do Normal / The Law of the Normal ,(#AST-094) / (#AST-094),N.D
A Lei do Normal / The Law of the Normal ,(#DR2-PT207) / (#DR2-EN207),N.D
A Luz - Fusão Selada por Feitiço / The Light - Hex-Sealed Fusion ,(#DR3-PT147) / (#DR3-EN147),N.D
A Luz - Fusão Selada por Feitiço / The Light - Hex-Sealed Fusion ,(#FET-PT027) / (#FET-EN027),N.D
A Luz - Fusão Selada por Feitiço / The Light - Hex-Sealed Fusion ,(#LCYW-PT262) / (#LCYW-EN262),N.D
A Luz - Fusão Selada por Feitiço / The Light - Hex-Sealed Fusion ,(#SDCR-PT017) / (#SDCR-EN017),N.D
 Máscara dos Remanescentes / The Mask of Remnants ,(#TAEV-PTSE2) / (#TAEV-ENSE2),N.D
A Magia que Absorve Vida / The Spell Absorbing Life ,(#DR1-PT159) / (#DR1-EN159),N.D
A Magia que Absorve Vida / The Spell Absorbing Life ,(#MFC-104) / (#MFC-104),N.D
A Maldição do Demônio Mascarado / Curse of the Masked Beast ,(#DB1-PT219) / (#DB1-EN219),N.D
A Maldição do Demônio Mascarado / Curse of the Masked Beast ,(#DPBC-PT032) / (#DPBC-EN032),N.D
A Maldição do Demônio Mascarado / Curse of the Masked Beast ,(#LON-016) / (#LON-016),N.D
A Maldição do Demônio Mascarado / Curse of the Masked Beast ,(#RP02-PT030) / (#RP02-EN030),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#CROS-PT091) / (#CROS-EN091),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LCKC-PT028) / (#LCKC-EN028),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LDK2-PTK26) / (#LDK2-ENK26),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LDK2-PTK26) / (#LDK2-ENK26),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LDK2-PTK26) / (#LDK2-ENK26),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LDK2-PTK26) / (#LDK2-ENK26),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#LED3-PT009) / (#LED3-EN009),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#MP16-PT041) / (#MP16-EN041),N.D
A Melodia do Despertar do Dragão / The Melody of Awakening Dragon ,(#OP02-PT024) / (#OP02-EN024),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#CSOC-PT035) / (#CSOC-EN035),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#DPKB-PT022) / (#DPKB-EN022),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LCKC-PT010) / (#LCKC-EN010),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LDK2-PTK04) / (#LDK2-ENK04),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LDK2-PTK04) / (#LDK2-ENK04),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LDK2-PTK04) / (#LDK2-ENK04),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LDK2-PTK04) / (#LDK2-ENK04),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#LED3-PT007) / (#LED3-EN007),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#OP01-PT017) / (#OP01-EN017),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#SDBE-PT013) / (#SDBE-EN013),N.D
A Pedra Branca das Lendas / The White Stone of Legend ,(#SDDC-PT006) / (#SDDC-EN006),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#LCKC-PT011) / (#LCKC-EN011),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#LDK2-PTK05) / (#LDK2-ENK05),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#LDK2-PTK05) / (#LDK2-ENK05),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#LDK2-PTK05) / (#LDK2-ENK05),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#LDK2-PTK05) / (#LDK2-ENK05),N.D
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#MP17-PT013) / (#MP17-EN013),"11,12"
A Pedra Branca dos Antigos / The White Stone of Ancients ,(#SHVI-PT022) / (#SHVI-EN022),N.D
A Pedra Negra das Lendas / The Black Stone of Legend ,(#CORE-PT021) / (#CORE-EN021),N.D
A Pedra Negra das Lendas / The Black Stone of Legend ,(#LDK2-PTJ05) / (#LDK2-ENJ05),N.D
A Pedra Negra das Lendas / The Black Stone of Legend ,(#LDK2-PTJ05) / (#LDK2-ENJ05),N.D
A Pedra Negra das Lendas / The Black Stone of Legend ,(#LDK2-PTJ05) / (#LDK2-ENJ05),N.D
A Pedra Negra das Lendas / The Black Stone of Legend ,(#LDK2-PTJ05) / (#LDK2-ENJ05),N.D
A Porta do Destino / The Door of Destiny ,(#WSUP-PT031) / (#WSUP-EN031),N.D
A Presa de Critias / The Fang of Critias ,(#DRL2-PT006) / (#DRL2-EN006),N.D
A Presa de Critias / The Fang of Critias ,(#DRL3-PT060) / (#DRL3-EN060),N.D
A Presa de Critias / The Fang of Critias ,(#LCKC-PT037) / (#LCKC-EN037),N.D
 Presa de Critias / The Fang of Critias ,(#LEDD-PTA22) / (#LEDD-ENA22),N.D
A Profecia da Transmigração / The Transmigration Prophecy ,(#SDSB-PT035) / (#SDSB-EN035),N.D
 Rapariga Infeliz / The Unhappy Girl ,(#AST-010) / (#AST-010),N.D
A Rapariga Infeliz / The Unhappy Girl ,(#DR2-PT122) / (#DR2-EN122),N.D
A Terra- Fusão Selada por Feitiço / The Earth - Hex-Sealed Fusion ,(#DR3-PT149) / (#DR3-EN149),N.D
A Terra- Fusão Selada por Feitiço / The Earth - Hex-Sealed Fusion ,(#FET-PT029) / (#FET-EN029),N.D
A Terra- Fusão Selada por Feitiço / The Earth - Hex-Sealed Fusion ,(#LCYW-PT264) / (#LCYW-EN264),N.D
A Vingança do Normal / The Revenge of the Normal ,(#MP19-PT214) / (#MP19-EN214),N.D
A Vingança do Normal / The Revenge of the Normal ,(#SOFU-PT079) / (#SOFU-EN079),N.D
Ação de Graças dos Tokens / Token Thanksgiving ,(#DCR-041) / (#DCR-041),N.D
Ação de Graças dos Tokens / Token Thanksgiving ,(#DCR-041) / (#DCR-041),N.D
Ação de Graças dos Tokens / Token Thanksgiving ,(#DR1-PT203) / (#DR1-EN203),N.D
Açoite Gravitacional / Gravity Lash ,(#COTD-PT063) / (#COTD-EN063),N.D
Açoite Gravitacional / Gravity Lash ,(#MP18-PT077) / (#MP18-EN077),N.D
Abacaxí Naturia / Naturia Pineapple ,(#DREV-PT082) / (#DREV-EN082),N.D
bacaxí Naturia / Naturia Pineapple ,(#HASE-PT002) / (#HASE-EN002),N.D
Abaki ,(#CDIP-EN013),N.D
Abaki ,(#YSDS-EN020),N.D
Abare Ushioni / Abare Ushioni ,(#DR3-PT146) / (#DR3-EN146),N.D
Abare Ushioni / Abare Ushioni ,(#FET-PT026) / (#FET-EN026),N.D
ABC - Dragão Banimento / ABC-Dragon Buster ,(#LCKC-PT059) / (#LCKC-EN059),N.D
ABC - Dragão Banimento / ABC-Dragon Buster ,(#SDKS-PT041) / (#SDKS-EN041),N.D
Abdutor Mágico / Magical Abductor ,(#CORE-PT041) / (#CORE-EN041),N.D
Abdutor Mágico / Magical Abductor ,(#MP16-PT073) / (#MP16-EN073),N.D
Abdutor Mágico / Magical Abductor ,(#PEVO-PT029) / (#PEVO-EN029),N.D
Abdutor Mágico / Magical Abductor ,(#SR08-PT012) / (#SR08-EN012),N.D
Abelha Soldado / Bee List Soldier ,(#CRMS-PT036) / (#CRMS-EN036),N.D
Abelha Soldado / Bee List Soldier ,(#SS03-PTB14) / (#SS03-ENB14),N.D
Abis-desprezo / Abyss-scorn ,(#CBLZ-PT075) / (#CBLZ-EN075),N.D
Abis-escamas de Cetus / Abyss-scale of Cetus ,(#CBLZ-PT061) / (#CBLZ-EN061),N.D
Abis-escamas de Mizuchi / Abyss-scale of the Mizuchi ,(#LTGY-PT064) / (#LTGY-EN064),N.D
Abis-escamas de Mizuchi / Abyss-scale of the Mizuchi ,(#MP14-PT040) / (#MP14-EN040),N.D
Abominação Desacorrentada / Unchained Abomination ,(#CHIM-PT045) / (#CHIM-EN045),N.D
borratador Sônico / Sonic Jammer ,(#AST-021) / (#AST-021),N.D
Aborratador Sônico / Sonic Jammer ,(#DR2-PT133) / (#DR2-EN133),N.D
Abrasador Dragão Vermelho Arquidemônio / Hot Red Dragon Archfiend ,(#HSRD-PT040) / (#HSRD-EN040),N.D
Abrasador Dragão Vermelho Arquidemônio / Hot Red Dragon Archfiend ,(#YF06-PT001) / (#YF06-EN001),N.D
Abrasador Dragão Vermelho Arquidemônio do Abismo / Hot Red Dragon Archfiend Abyss ,(#DUPO-PT057) / (#DUPO-EN057),N.D
Abrasador Dragão Vermelho Arquidemônio do Abismo / Hot Red Dragon Archfiend Abyss ,(#HSRD-PT041) / (#HSRD-EN041),N.D
Abrasador Dragão Vermelho Arquidemônio do Banimento / Hot Red Dragon Archfiend Bane ,(#DUPO-PT058) / (#DUPO-EN058),N.D
Abrasador Dragão Vermelho Arquidemônio do Banimento / Hot Red Dragon Archfiend Bane ,(#HSRD-PT042) / (#HSRD-EN042),N.D
Abrasador Dragão Vermelho Arquidemônio Rei da Calamidade / Hot Red Dragon Archfiend King Calamity ,(#DUPO-PT059) / (#DUPO-EN059),N.D
Abrasador Dragão Vermelho Arquidemônio Rei da Calamidade / Hot Red Dragon Archfiend King Calamity ,(#SHVI-PT097) / (#SHVI-EN097),N.D
Absorção de Alma / Soul Absorption ,(#DR2-PT046) / (#DR2-EN046),N.D
Absorção de Alma / Soul Absorption ,(#IOC-046) / (#IOC-046),N.D
Absorção de Alma / Soul Absorption ,(#THSF-PT049) / (#THSF-EN049),N.D
Absorção de Magia / Spell Absorption ,(#DR3-PT159) / (#DR3-EN159),N.D
Absorção de Magia / Spell Absorption ,(#FET-PT039) / (#FET-EN039),N.D
Absorção de Magia / Spell Absorption ,(#INCH-PT053) / (#INCH-EN053),N.D
Absorção de Magia (#SD6-PT027 / Spell Absorption (#SD6-EN027 ,) / ),N.D
bsorbing Jar ,(#GAOV-EN037),N.D
Absorver Fusão / Absorb Fusion ,(#CORE-PT092) / (#CORE-EN092),N.D
Abyss Soldier ,(#CMC-EN001),N.D
Abyss Soldier ,(#CP02-EN007),N.D
Abyss Soldier ,(#DT06-EN065),N.D
Abyss Soldier ,(#SDRE-EN014),N.D
byss Warrior ,(#ABYR-EN028),N.D
byss-scale of the Kraken ,(#ABYR-EN056),N.D
byss-sphere ,(#ABYR-EN072),N.D
byss-squall ,(#ABYR-EN071),N.D
byss-strom ,(#ABYR-EN073),N.D
Abyssal Kingshark ,(#BP01-EN155),N.D
Abyssal Kingshark (#TAEV-EN084  ,),N.D
Abyssal Kingshark ,(#TU05-EN013),N.D
Acólito Perverso Chilam Sabak / Wicked Acolyte Chilam Sabak ,(#COTD-PT093) / (#COTD-EN093),N.D
Acólito Perverso Chilam Sabak / Wicked Acolyte Chilam Sabak ,(#MP18-PT098) / (#MP18-EN098),N.D
Accumulated Fortune ,(#CDIP-EN057),N.D
Acelerador de Explosão / Blaze Accelerator ,(#CP06-PT005) / (#CP06-EN005),N.D
Acelerador de Explosão / Blaze Accelerator ,(#FOTB-PT040) / (#FOTB-EN040),N.D
Acelerador de Explosão / Blaze Accelerator ,(#SDOK-PT025) / (#SDOK-EN025),N.D
Acelerador PSÍ-Armação / PSY-Frame Accelerator ,(#INOV-PT074) / (#INOV-EN074),N.D
Acelerador PSÍ-Armação / PSY-Frame Accelerator ,(#MP17-PT162) / (#MP17-EN162),N.D
Acelerador Sincron / Accel Synchron ,(#SDSE-PT042) / (#SDSE-EN042),N.D
Aceleruz / Accellight ,(#LED3-PT044) / (#LED3-EN044),N.D
Aceleruz / Accellight ,(#ZTIN-PT016) / (#ZTIN-EN016),N.D
Acessório do Abismo - Vagão Selvagem / Abyss Prop - Wild Wagon ,(#DESO-PT026) / (#DESO-EN026),N.D
chacha Chanbara ,(#ABYR-EN003),N.D
Acidic Downpour ,(#PTDN-EN058),N.D
Acoplar Vagão / Train Connection ,(#DRLG-PT039) / (#DRLG-EN039),N.D
Acorno ,(#PHSW-EN006),N.D
Acusação Equivocada / Mistaken Accusation ,(#BOSH-PT068) / (#BOSH-EN068),N.D
Acusação Equivocada / Mistaken Accusation ,(#MP16-PT222) / (#MP16-EN222),N.D
Adaptador Universal / Universal Adapter ,(#CYHO-PT079) / (#CYHO-EN079),N.D
Adaptador Universal / Universal Adapter ,(#FLOD-PTSE4) / (#FLOD-ENSE4),N.D
Adaptador Universal / Universal Adapter ,(#MP19-PT134) / (#MP19-EN134),N.D
Adeus Dano / Bye Bye Damage ,(#CHIM-PT096) / (#CHIM-EN096),N.D
Administrador das Chamas / Flame Administrator ,(#EXFO-PT041) / (#EXFO-EN041),"0,80"
Administrador das Chamas / Flame Administrator ,(#MP18-PT197) / (#MP18-EN197),N.D
Administrador das Chamas / Flame Administrator ,(#SDSB-PT044) / (#SDSB-EN044),N.D
doração do Vento Yosenju / Yosenju Wind Worship ,(#RIRA-PT057) / (#RIRA-EN057),"0,80"
"Adoração, o HERÓI da Visão / Vision HERO Adoration ",(#BLLR-PT057) / (#BLLR-EN057),N.D
"Adoração, o HERÓI da Visão / Vision HERO Adoration ",(#GENF-PT096) / (#GENF-EN096),N.D
"Adreus, Keeper of Armageddon ",(#BP01-EN030),N.D
"Adreus, Keeper of Armageddon ",(#GENF-EN086),N.D
dvance Force ,(#ABPF-EN048),N.D
Advance Zone ,(#OP01-EN027),N.D
Advance Zone ,(#REDU-EN088),N.D
dvanced Heraldry Art ,(#ABYR-EN055),N.D
Advento do Olhos Anômalos / Odd-Eyes Advent ,(#BOSH-PT066) / (#BOSH-EN066),N.D
Advento do Olhos Anômalos / Odd-Eyes Advent ,(#LEDD-PTC15) / (#LEDD-ENC15),N.D
"Aegaion, o Castrum Marítimo / Aegaion the Sea Castrum ",(#BOSH-PT055) / (#BOSH-EN055),N.D
"Aegaion, o Castrum Marítimo / Aegaion the Sea Castrum ",(#MP16-PT213) / (#MP16-EN213),N.D
Aegis of Gaia ,(#GLD3-EN050),N.D
Aegis of Gaia ,(#STON-EN068),N.D
egis of the Ocean Dragon Lord ,(#ANPR-EN076),N.D
Aegis of the Ocean Dragon Lord ,(#SDRE-EN033),N.D
Aerorca / Airorca ,(#BP03-PT087) / (#BP03-EN087),N.D
Aerorca / Airorca ,(#GENF-PT021) / (#GENF-EN021),N.D
Aerossol Erradicador / Eradicating Aerosol ,(#GLD4-PT034) / (#GLD4-EN034),N.D
Aerossol Erradicador / Eradicating Aerosol ,(#SS03-PTB25) / (#SS03-ENB25),N.D
